,year,stage,stage_type,profile_icon,gc_leader,gc_stage_time_str,power,stage_grade
171,1992,Saint-Etienne,RR,p2,INDURAIN Miguel,4:44:48,251.12271117732627,0.0134444444444444
172,1992,La Bourboule,RR,p3,INDURAIN Miguel,5:53:05,204.58515335008923,0.0231839622641509
173,1992,Montluçon,RR,p2,INDURAIN Miguel,4:51:10,221.80462137254776,0.0166666666666666
174,1992,Tours,RR,p2,INDURAIN Miguel,5:07:15,224.36960983711376,0.0075943396226415
175,1992,Blois,ITT,p2,INDURAIN Miguel,1:13:21,442.3386780863885,0.00975
176,1992,Nanterre,RR,p2,INDURAIN Miguel,6:11:07,149.4557371847177,0.0067072072072072
177,1992,Paris,RR,p2,INDURAIN Miguel,3:28:37,231.16702202017427,0.0128226950354609
178,1993,Puy-du-Fou,RR,p1,INDURAIN Miguel,0:08:12,672.3701084835433,0.0161764705882352
179,1993,Les Sables-d'Olonne,RR,p1,INDURAIN Miguel,4:52:29,425.1487695305152,0.0086465116279069
180,1993,Vannes,RR,p1,NELISSEN Wilfried,5:41:09,296.66801116435005,0.0059296703296703
181,1993,Dinard,RR,p1,NELISSEN Wilfried,4:41:53,354.3607602888218,0.0122269129287598
182,1993,Evreux,RR,p1,NELISSEN Wilfried,5:11:58,408.0082296969763,0.0104212860310421
183,1993,Amiens,RR,p1,CIPOLLINI Mario,3:12:03,579.8896817262973,0.0097025316455696
184,1993,Châlons Sur Marne,RR,p1,MUSEEUW Johan,4:28:11,450.4771922755564,0.0110703517587939
185,1993,Verdun,RR,p1,MUSEEUW Johan,4:22:37,382.93520196997,0.0099891598915989
186,1993,Lac De Madine,ITT,p1,INDURAIN Miguel,1:12:50,574.8083016564946,0.011
187,1993,Serre Chevalier,RR,p4,INDURAIN Miguel,5:28:52,545.6689406588565,0.0359014778325123
188,1993,Isola 2000,RR,p5,INDURAIN Miguel,5:41:03,423.3561258270824,0.0298268156424581
189,1993,Marseille,RR,p2,INDURAIN Miguel,7:50:19,214.22048156633912,0.0242937062937062
190,1993,Montpellier,RR,p1,INDURAIN Miguel,4:13:10,382.7719735506372,0.0071019283746556
191,1993,Perpignan,RR,p1,INDURAIN Miguel,5:45:10,322.89337921316854,0.0103452914798206
192,1993,Pal,RR,p5,INDURAIN Miguel,7:22:09,482.9843726572152,0.0353434125269978
193,1993,Pla d'Adet,RR,p5,INDURAIN Miguel,7:21:04,463.7644878497898,0.0338347826086956
194,1993,Pau,RR,p4,INDURAIN Miguel,5:06:57,469.63664638496783,0.0292717678100263
195,1993,Bordeaux,RR,p1,INDURAIN Miguel,5:13:56,271.2895153695291,0.0060902255639097
196,1993,Montlhéry,ITT,p1,INDURAIN Miguel,0:57:44,634.4106260139974,0.0126666666666666
197,1993,Paris,RR,p1,INDURAIN Miguel,5:27:20,287.29510891640325,0.0121882951653944
198,1994,Lille-Euralille,RR,p1,BOARDMAN Chris,0:07:49,784.7831950416952,0.0108333333333333
199,1994,Armentières,RR,p1,BOARDMAN Chris,5:46:16,325.5393650266468,0.0076153846153846
200,1994,Boulogne-Sur-Mer,RR,p1,BOARDMAN Chris,5:05:40,330.06227916034965,0.0095724815724815
201,1994,Brighton,RR,p1,VANZELLA Flavio,5:13:13,356.3722076393916,0.0131687041564792
202,1994,Portsmouth,RR,p1,VANZELLA Flavio,4:10:49,474.3520056038888,0.0118877005347593
203,1994,Rennes,RR,p1,YATES Sean,6:58:49,316.0719684332691,0.0102365988909427
204,1994,Futuroscope,RR,p1,MUSEEUW Johan,5:56:50,395.9116710856207,0.0076801541425818
205,1994,Trélissac,RR,p1,MUSEEUW Johan,5:11:43,402.5972437837195,0.0123661327231121
206,1994,Bergerac,ITT,p1,INDURAIN Miguel,1:15:58,659.4335332597393,0.012953125
207,1994,Cahors,RR,p1,INDURAIN Miguel,3:40:06,492.9496544822515,0.0159003115264797
208,1994,Hautacam,RR,p5,INDURAIN Miguel,6:58:06,354.87713548300525,0.015066413662239
209,1994,Luz Ardiden,RR,p5,INDURAIN Miguel,6:16:14,494.8285543105115,0.0341662591687041
210,1994,Albi,RR,p1,INDURAIN Miguel,5:14:57,382.6584388425433,0.008286995515695
211,1994,Montpellier,RR,p2,INDURAIN Miguel,5:17:00,217.2696041689327,0.0182128712871287
212,1994,Carpentras,RR,p4,INDURAIN Miguel,6:35:59,293.6223147545926,0.0167792207792207
213,1994,L'alpe D'huez,RR,p5,INDURAIN Miguel,6:14:41,529.3995814962315,0.0311046770601336
214,1994,Val Thorens,RR,p5,INDURAIN Miguel,5:16:29,561.4830881004743,0.0498590604026845
