,year,Race_url,stage,stage_url,stage_type,profile_icon,stage_winner,stage_winner_url,stage_winner_time,stage_distance,stage_vertical_meters,gc_leader,gc_leader_url,gc_stage_time
121,1990,race/tour-de-france/1990,Epinal,https://www.procyclingstats.com/race/tour-de-france/1990/stage-7,ITT,p1,{'rider_name': 'ALCALÁ Raúl'},{'rider_url': 'rider/raul-alcala'},{'time': '1:17:05'},61.5,845.0,{'rider_name': 'BAUER Steve'},{'rider_url': 'rider/steve-bauer'},1:19:48
122,1990,race/tour-de-france/1990,Besançon,https://www.procyclingstats.com/race/tour-de-france/1990/stage-8,RR,p1,{'rider_name': 'LUDWIG Olaf'},{'rider_url': 'rider/olaf-ludwig'},{'time': '4:26:53'},181.9,805.0,{'rider_name': 'BAUER Steve'},{'rider_url': 'rider/steve-bauer'},4:27:14
123,1990,race/tour-de-france/1990,Genève,https://www.procyclingstats.com/race/tour-de-france/1990/stage-9,RR,p2,{'rider_name': 'GHIROTTO Massimo'},{'rider_url': 'rider/massimo-ghirotto'},{'time': '4:46:07'},196.0,2381.0,{'rider_name': 'BAUER Steve'},{'rider_url': 'rider/steve-bauer'},4:46:44
124,1990,race/tour-de-france/1990,Saint-Gervais-les-Bains,https://www.procyclingstats.com/race/tour-de-france/1990/stage-10,RR,p5,{'rider_name': 'CLAVEYROLAT Thierry'},{'rider_url': 'rider/thierry-claveyrolat'},{'time': '3:24:31'},118.5,2501.0,{'rider_name': 'PENSEC Ronan'},{'rider_url': 'rider/ronan-pensec'},3:27:00
125,1990,race/tour-de-france/1990,L'Alpe d'Huez,https://www.procyclingstats.com/race/tour-de-france/1990/stage-11,RR,p5,{'rider_name': 'BUGNO Gianni'},{'rider_url': 'rider/gianni-bugno'},{'time': '5:37:51'},182.5,4877.0,{'rider_name': 'PENSEC Ronan'},{'rider_url': 'rider/ronan-pensec'},5:38:39
126,1990,race/tour-de-france/1990,Villard de lans,https://www.procyclingstats.com/race/tour-de-france/1990/stage-12,ITT,p3,{'rider_name': 'BREUKINK Erik'},{'rider_url': 'rider/erik-breukink'},{'time': '0:56:52'},33.5,970.0,{'rider_name': 'CHIAPPUCCI Claudio'},{'rider_url': 'rider/claudio-chiappucci'},0:57:57
127,1990,race/tour-de-france/1990,Saint-Etienne,https://www.procyclingstats.com/race/tour-de-france/1990/stage-13,RR,p2,{'rider_name': 'CHOZAS Eduardo'},{'rider_url': 'rider/eduardo-chozas'},{'time': '3:20:12'},149.0,1734.0,{'rider_name': 'CHIAPPUCCI Claudio'},{'rider_url': 'rider/claudio-chiappucci'},3:25:05
128,1990,race/tour-de-france/1990,Millau - Montée du Causse Noir,https://www.procyclingstats.com/race/tour-de-france/1990/stage-14,RR,p5,{'rider_name': 'LEJARRETA Marino'},{'rider_url': 'rider/marino-lejarreta'},{'time': '5:12:03'},205.0,2812.0,{'rider_name': 'CHIAPPUCCI Claudio'},{'rider_url': 'rider/claudio-chiappucci'},5:12:50
129,1990,race/tour-de-france/1990,Revel,https://www.procyclingstats.com/race/tour-de-france/1990/stage-15,RR,p2,{'rider_name': 'MOTTET Charly'},{'rider_url': 'rider/charly-mottet'},{'time': '4:13:56'},170.0,1731.0,{'rider_name': 'CHIAPPUCCI Claudio'},{'rider_url': 'rider/claudio-chiappucci'},4:18:44
130,1990,race/tour-de-france/1990,Luz-Ardiden,https://www.procyclingstats.com/race/tour-de-france/1990/stage-16,RR,p5,{'rider_name': 'INDURAIN Miguel'},{'rider_url': 'rider/miguel-indurain'},{'time': '7:04:38'},215.0,3999.0,{'rider_name': 'CHIAPPUCCI Claudio'},{'rider_url': 'rider/claudio-chiappucci'},7:07:03
131,1990,race/tour-de-france/1990,Pau,https://www.procyclingstats.com/race/tour-de-france/1990/stage-17,RR,p4,{'rider_name': 'KONYCHEV Dmitri'},{'rider_url': 'rider/dmitri-konychev'},{'time': '4:08:25'},150.0,2586.0,{'rider_name': 'CHIAPPUCCI Claudio'},{'rider_url': 'rider/claudio-chiappucci'},4:13:56
132,1990,race/tour-de-france/1990,Bordeaux,https://www.procyclingstats.com/race/tour-de-france/1990/stage-18,RR,p1,{'rider_name': 'BUGNO Gianni'},{'rider_url': 'rider/gianni-bugno'},{'time': '5:41:33'},202.0,321.0,{'rider_name': 'CHIAPPUCCI Claudio'},{'rider_url': 'rider/claudio-chiappucci'},5:41:52
133,1990,race/tour-de-france/1990,Limoges,https://www.procyclingstats.com/race/tour-de-france/1990/stage-19,RR,p1,{'rider_name': 'BONTEMPI Guido'},{'rider_url': 'rider/guido-bontempi'},{'time': '5:16:04'},182.5,1114.0,{'rider_name': 'CHIAPPUCCI Claudio'},{'rider_url': 'rider/claudio-chiappucci'},5:22:08
134,1990,race/tour-de-france/1990,Lac de Vassivière,https://www.procyclingstats.com/race/tour-de-france/1990/stage-20,ITT,p1,{'rider_name': 'BREUKINK Erik'},{'rider_url': 'rider/erik-breukink'},{'time': '1:02:40'},45.5,1097.0,{'rider_name': 'LEMOND Greg'},{'rider_url': 'rider/greg-lemond'},1:03:37
135,1990,race/tour-de-france/1990,Paris,https://www.procyclingstats.com/race/tour-de-france/1990/stage-21,RR,p1,{'rider_name': 'MUSEEUW Johan'},{'rider_url': 'rider/johan-museeuw'},{'time': '4:53:52'},182.5,1285.0,{'rider_name': 'LEMOND Greg'},{'rider_url': 'rider/greg-lemond'},4:53:52
136,1991,race/tour-de-france/1991,Lyon,https://www.procyclingstats.com/race/tour-de-france/1991/prologue,RR,p1,{'rider_name': 'MARIE Thierry'},{'rider_url': 'rider/thierry-marie'},{'time': '0:06:11'},5.4,63.0,{'rider_name': 'MARIE Thierry'},{'rider_url': 'rider/thierry-marie'},0:06:11
137,1991,race/tour-de-france/1991,Lyon,https://www.procyclingstats.com/race/tour-de-france/1991/stage-1,RR,p1,{'rider_name': 'ABDUZHAPAROV Djamolidine'},{'rider_url': 'rider/djamolidine-abduzhaparov'},{'time': '2:28:54'},114.5,1653.0,{'rider_name': 'LEMOND Greg'},{'rider_url': 'rider/greg-lemond'},2:28:54
138,1991,race/tour-de-france/1991,Dijon,https://www.procyclingstats.com/race/tour-de-france/1991/stage-3,RR,p1,{'rider_name': 'DE WILDE Etienne'},{'rider_url': 'rider/etienne-de-wilde'},{'time': '5:15:11'},210.5,1532.0,{'rider_name': 'SØRENSEN Rolf'},{'rider_url': 'rider/rolf-sorensen'},5:15:11
139,1991,race/tour-de-france/1991,Reims,https://www.procyclingstats.com/race/tour-de-france/1991/stage-4,RR,p1,{'rider_name': 'ABDUZHAPAROV Djamolidine'},{'rider_url': 'rider/djamolidine-abduzhaparov'},{'time': '7:49:14'},286.0,2950.0,{'rider_name': 'SØRENSEN Rolf'},{'rider_url': 'rider/rolf-sorensen'},7:49:14
140,1991,race/tour-de-france/1991,Valenciennes,https://www.procyclingstats.com/race/tour-de-france/1991/stage-5,RR,p1,{'rider_name': 'NIJDAM Jelle'},{'rider_url': 'rider/jelle-nijdam'},{'time': '3:17:38'},149.5,1191.0,{'rider_name': 'SØRENSEN Rolf'},{'rider_url': 'rider/rolf-sorensen'},3:17:51
141,1991,race/tour-de-france/1991,Le Havre,https://www.procyclingstats.com/race/tour-de-france/1991/stage-6,RR,p1,{'rider_name': 'MARIE Thierry'},{'rider_url': 'rider/thierry-marie'},{'time': '6:38:27'},259.0,2593.0,{'rider_name': 'MARIE Thierry'},{'rider_url': 'rider/thierry-marie'},6:38:27
142,1991,race/tour-de-france/1991,Argentan,https://www.procyclingstats.com/race/tour-de-france/1991/stage-7,RR,p1,{'rider_name': 'VAN POPPEL Jean-Paul'},{'rider_url': 'rider/jean-paul-van-poppel'},{'time': '4:02:18'},196.5,1707.0,{'rider_name': 'MARIE Thierry'},{'rider_url': 'rider/thierry-marie'},4:02:18
143,1991,race/tour-de-france/1991,Alençon,https://www.procyclingstats.com/race/tour-de-france/1991/stage-8,ITT,p1,{'rider_name': 'INDURAIN Miguel'},{'rider_url': 'rider/miguel-indurain'},{'time': '1:35:44'},73.0,934.0,{'rider_name': 'LEMOND Greg'},{'rider_url': 'rider/greg-lemond'},1:35:52
144,1991,race/tour-de-france/1991,Rennes,https://www.procyclingstats.com/race/tour-de-france/1991/stage-9,RR,p1,{'rider_name': 'RIBEIRO Mauro'},{'rider_url': 'rider/mauro-ribeiro'},{'time': '3:40:51'},161.0,1679.0,{'rider_name': 'LEMOND Greg'},{'rider_url': 'rider/greg-lemond'},3:41:44
145,1991,race/tour-de-france/1991,Quimper,https://www.procyclingstats.com/race/tour-de-france/1991/stage-10,RR,p1,{'rider_name': 'ANDERSON Phil'},{'rider_url': 'rider/phil-anderson'},{'time': '5:23:23'},207.5,2047.0,{'rider_name': 'LEMOND Greg'},{'rider_url': 'rider/greg-lemond'},5:23:29
146,1991,race/tour-de-france/1991,Saint-Herblain,https://www.procyclingstats.com/race/tour-de-france/1991/stage-11,RR,p1,{'rider_name': 'MOTTET Charly'},{'rider_url': 'rider/charly-mottet'},{'time': '5:12:31'},246.0,2402.0,{'rider_name': 'LEMOND Greg'},{'rider_url': 'rider/greg-lemond'},5:12:31
147,1991,race/tour-de-france/1991,Jaca,https://www.procyclingstats.com/race/tour-de-france/1991/stage-12,RR,p4,{'rider_name': 'MOTTET Charly'},{'rider_url': 'rider/charly-mottet'},{'time': '5:15:52'},192.0,6041.0,{'rider_name': 'LEBLANC Luc'},{'rider_url': 'rider/luc-leblanc'},5:15:54
148,1991,race/tour-de-france/1991,Val Louron,https://www.procyclingstats.com/race/tour-de-france/1991/stage-13,RR,p5,{'rider_name': 'CHIAPPUCCI Claudio'},{'rider_url': 'rider/claudio-chiappucci'},{'time': '7:11:16'},232.0,8956.0,{'rider_name': 'INDURAIN Miguel'},{'rider_url': 'rider/miguel-indurain'},7:11:17
149,1991,race/tour-de-france/1991,Castres,https://www.procyclingstats.com/race/tour-de-france/1991/stage-14,RR,p1,{'rider_name': 'CENGHIALTA Bruno'},{'rider_url': 'rider/bruno-cenghialta'},{'time': '4:15:51'},172.5,1912.0,{'rider_name': 'INDURAIN Miguel'},{'rider_url': 'rider/miguel-indurain'},4:17:27
150,1991,race/tour-de-france/1991,Alès,https://www.procyclingstats.com/race/tour-de-france/1991/stage-15,RR,p1,{'rider_name': 'ARGENTIN Moreno'},{'rider_url': 'rider/moreno-argentin'},{'time': '6:21:22'},235.0,4540.0,{'rider_name': 'INDURAIN Miguel'},{'rider_url': 'rider/miguel-indurain'},6:23:15
