,year,Race_url,stage,stage_url,stage_type,stage_winner_time_str,profile_icon,stage_winner,stage_winner_url,stage_winner_time,stage_distance,gc_stage_time_str,stage_vertical_meters,gc_leader,gc_leader_url,gc_stage_time,power,gc_weight,gc_height,stage_grade,gc_speed
659,2015,race/tour-de-france/2015,Paris,https://www.procyclingstats.com/race/tour-de-france/2015/stage-21,RR,2:49:41,p1,GREIPEL André,rider/andre-greipel,10181,109.5,2:49:41,562.0,FROOME Chris,rider/christopher-froome,10181,246.3607103634116,68.0,1.86,0.0051324200913242,10.75532855318731
660,2016,race/tour-de-france/2016,Utah Beach Sainte-Marie-du-Mont,https://www.procyclingstats.com/race/tour-de-france/2016/stage-1,RR,4:14:05,p2,CAVENDISH Mark,rider/mark-cavendish,15245,188.0,4:14:05,1071.0,CAVENDISH Mark,rider/mark-cavendish,15245,380.7849992259215,70.0,1.75,0.0056968085106382,12.331912102328632
661,2016,race/tour-de-france/2016,Cherbourg,https://www.procyclingstats.com/race/tour-de-france/2016/stage-2,RR,4:20:51,p3,SAGAN Peter,rider/peter-sagan,15651,183.0,4:20:51,1985.0,SAGAN Peter,rider/peter-sagan,15651,371.2569976865949,78.0,1.82,0.0108469945355191,11.692543607437225
662,2016,race/tour-de-france/2016,Angers,https://www.procyclingstats.com/race/tour-de-france/2016/stage-3,RR,5:59:54,p2,CAVENDISH Mark,rider/mark-cavendish,21594,223.5,5:59:54,1975.0,SAGAN Peter,rider/peter-sagan,21594,259.76023219001826,78.0,1.82,0.0088366890380313,10.3500972492359
663,2016,race/tour-de-france/2016,Limoges,https://www.procyclingstats.com/race/tour-de-france/2016/stage-4,RR,5:28:30,p2,KITTEL Marcel,rider/marcel-kittel,19710,237.5,5:28:30,1934.0,SAGAN Peter,rider/peter-sagan,19710,380.1663444929769,78.0,1.82,0.0081431578947368,12.049720953830542
664,2016,race/tour-de-france/2016,Le Lioran,https://www.procyclingstats.com/race/tour-de-france/2016/stage-5,RR,5:31:36,p4,VAN AVERMAET Greg,rider/greg-van-avermaet,19896,216.0,5:31:36,4105.0,VAN AVERMAET Greg,rider/greg-van-avermaet,19896,155.36451656087158,74.0,1.81,0.0190046296296296,10.856453558504224
665,2016,race/tour-de-france/2016,Montauban,https://www.procyclingstats.com/race/tour-de-france/2016/stage-6,RR,4:43:48,p2,CAVENDISH Mark,rider/mark-cavendish,17028,190.5,4:43:52,2025.0,VAN AVERMAET Greg,rider/greg-van-avermaet,17032,326.4296356079411,74.0,1.81,0.0106299212598425,11.184828558008457
666,2016,race/tour-de-france/2016,Lac de Payolle,https://www.procyclingstats.com/race/tour-de-france/2016/stage-7,RR,3:48:09,p4,CUMMINGS Steve,rider/stephen-cummings,13689,162.5,3:51:06,2578.0,VAN AVERMAET Greg,rider/greg-van-avermaet,13866,150.3612467148874,74.0,1.81,0.0158646153846153,11.719313428530215
667,2016,race/tour-de-france/2016,Bagnères-de-Luchon,https://www.procyclingstats.com/race/tour-de-france/2016/stage-8,RR,4:57:33,p4,FROOME Chris,rider/christopher-froome,17853,184.0,4:57:33,4597.0,FROOME Chris,rider/christopher-froome,17853,170.76094286899556,68.0,1.86,0.0249836956521739,10.306391082731194
668,2016,race/tour-de-france/2016,Andorra Arcalis,https://www.procyclingstats.com/race/tour-de-france/2016/stage-9,RR,5:16:24,p5,DUMOULIN Tom,rider/tom-dumoulin,18984,184.0,5:22:59,4948.0,FROOME Chris,rider/christopher-froome,19379,164.10791679790603,68.0,1.86,0.026891304347826,9.49481397388926
669,2016,race/tour-de-france/2016,Revel,https://www.procyclingstats.com/race/tour-de-france/2016/stage-10,RR,4:22:38,p4,MATTHEWS Michael,rider/michael-matthews,15758,197.0,4:32:17,2432.0,FROOME Chris,rider/christopher-froome,16337,124.1613702348305,68.0,1.86,0.0123451776649746,12.058517475668728
670,2016,race/tour-de-france/2016,Montpellier,https://www.procyclingstats.com/race/tour-de-france/2016/stage-11,RR,3:26:23,p2,SAGAN Peter,rider/peter-sagan,12383,162.5,3:26:23,1381.0,FROOME Chris,rider/christopher-froome,12383,472.795563049806,68.0,1.86,0.0084984615384615,13.122829685859646
671,2016,race/tour-de-france/2016,Chalet-Reynard (Mont Ventoux),https://www.procyclingstats.com/race/tour-de-france/2016/stage-12,RR,4:31:51,p5,DE GENDT Thomas,rider/thomas-de-gendt,16311,178.0,4:36:56,2416.0,FROOME Chris,rider/christopher-froome,16616,110.32228649014888,68.0,1.86,0.0135730337078651,10.712566201251803
672,2016,race/tour-de-france/2016,Le Caverne de Pont d'Arc,https://www.procyclingstats.com/race/tour-de-france/2016/stage-13,ITT,0:50:15,p3,DUMOULIN Tom,rider/tom-dumoulin,3015,37.5,0:51:18,752.0,FROOME Chris,rider/christopher-froome,3078,466.2779059339449,68.0,1.86,0.0200533333333333,12.183235867446394
673,2016,race/tour-de-france/2016,Villars-les-Dombes Parc des Oiseaux,https://www.procyclingstats.com/race/tour-de-france/2016/stage-14,RR,5:43:49,p2,CAVENDISH Mark,rider/mark-cavendish,20629,208.5,5:43:49,1958.0,FROOME Chris,rider/christopher-froome,20629,240.9644027270436,68.0,1.86,0.0093908872901678,10.10713073828106
674,2016,race/tour-de-france/2016,Culoz,https://www.procyclingstats.com/race/tour-de-france/2016/stage-15,RR,4:24:49,p4,PANTANO Jarlinson,rider/jarlinson-pantano,15889,159.0,4:27:56,4386.0,FROOME Chris,rider/christopher-froome,16076,176.54676725769073,68.0,1.86,0.0275849056603773,9.890520029858171
675,2016,race/tour-de-france/2016,Berne,https://www.procyclingstats.com/race/tour-de-france/2016/stage-16,RR,4:26:02,p2,SAGAN Peter,rider/peter-sagan,15962,209.0,4:26:02,1967.0,FROOME Chris,rider/christopher-froome,15962,476.7038901775119,68.0,1.86,0.0094114832535885,13.093597293572234
676,2016,race/tour-de-france/2016,Finhaut-Emosson,https://www.procyclingstats.com/race/tour-de-france/2016/stage-17,RR,4:36:33,p5,ZAKARIN Ilnur,rider/ilnur-zakarin,16593,184.5,4:44:32,3891.0,FROOME Chris,rider/christopher-froome,17072,157.81910218937983,68.0,1.86,0.0210894308943089,10.807169634489222
677,2016,race/tour-de-france/2016,Megève,https://www.procyclingstats.com/race/tour-de-france/2016/stage-18,ITT,0:30:43,p5,FROOME Chris,rider/christopher-froome,1843,17.0,0:30:43,676.0,FROOME Chris,rider/christopher-froome,1843,225.4638748193616,68.0,1.86,0.0397647058823529,9.224091155724365
678,2016,race/tour-de-france/2016,Saint-Gervais Mont Blanc,https://www.procyclingstats.com/race/tour-de-france/2016/stage-19,RR,4:14:08,p5,BARDET Romain,rider/romain-bardet,15248,146.0,4:14:44,4436.0,FROOME Chris,rider/christopher-froome,15284,184.21035299659115,68.0,1.86,0.0303835616438356,9.552473174561634
679,2016,race/tour-de-france/2016,Morzine,https://www.procyclingstats.com/race/tour-de-france/2016/stage-20,RR,4:06:45,p4,IZAGIRRE Ion,rider/ion-izagirre,14805,146.5,4:11:03,4127.0,FROOME Chris,rider/christopher-froome,15063,176.11772231443132,68.0,1.86,0.0281706484641638,9.725818230100243
680,2016,race/tour-de-france/2016,Paris,https://www.procyclingstats.com/race/tour-de-france/2016/stage-21,RR,2:43:08,p1,GREIPEL André,rider/andre-greipel,9788,113.0,2:43:08,713.0,FROOME Chris,rider/christopher-froome,9788,306.407533979934,68.0,1.86,0.0063097345132743,11.544748671843074
681,2017,race/tour-de-france/2017,Düsseldorf,https://www.procyclingstats.com/race/tour-de-france/2017/stage-1,ITT,0:16:04,p1,THOMAS Geraint,rider/geraint-thomas,964,14.0,0:16:04,61.0,THOMAS Geraint,rider/geraint-thomas,964,579.9694074821089,71.0,1.83,0.0043571428571428,14.522821576763484
682,2017,race/tour-de-france/2017,Liège,https://www.procyclingstats.com/race/tour-de-france/2017/stage-2,RR,4:37:06,p1,KITTEL Marcel,rider/marcel-kittel,16626,203.5,4:37:06,1278.0,THOMAS Geraint,rider/geraint-thomas,16626,362.55221493171086,71.0,1.83,0.0062800982800982,12.23986527126188
683,2017,race/tour-de-france/2017,Longwy,https://www.procyclingstats.com/race/tour-de-france/2017/stage-3,RR,5:07:19,p1,SAGAN Peter,rider/peter-sagan,18439,212.5,5:07:21,2706.0,THOMAS Geraint,rider/geraint-thomas,18441,335.01619141415574,71.0,1.83,0.0127341176470588,11.52323626701372
